id,name,age,position,club,league,minutes,appearances,goals,assists,xG,xA,shots,shots_on_target,key_passes,passes_per90,pass_accuracy_pct,dribbles_per90,tackles_per90,interceptions_per90,yellow_cards,red_cards,clean_sheets,market_value_eur
595,Mahmoud Dahoud,21,MF,Dortmund,Bundesliga,1146,7,0,4,1.7,3,1,7,678,0.31,83.8,24,34,16,4,0,0,18000000
2145,Liam Rosenior,33,DF,Brighton,Premier League,164,5,0,0,0,0,0,0,91,0,65.9,0,4,2,0,0,0,1000000
2168,Mathew Ryan,25,GK,Brighton,Premier League,3420,1,0,0,0,0,0,0,961,0,52.1,0,0,0,0,0,10,8000000
2251,Ezequiel Schelotto,28,DF,Brighton,Premier League,1318,35,0,0,0.8,0.8,1,2,606,0,72.8,21,22,17,3,0,0,4500000
2545,Jordan Veretout,24,MF,Fiorentina,Serie A,3209,57,8,1,5.4,3.8,3,16,2157,0.03,81.4,60,71,28,10,1,0,18000000
2403,Markus Suttner,30,DF,Brighton,Premier League,1179,17,0,0,0.1,0.5,1,1,604,0,71.4,6,25,10,0,0,0,2500000
2510,Leonardo Ulloa,31,FW,Brighton,Premier League,267,3,1,0,0.4,0.3,0,1,120,0,72.5,2,3,1,0,0,0,5000000
1248,Kevin Kampl,26,MF,Leverkusen,Bundesliga,30,0,0,0,0,0,1,0,33,0,84.8,44,1,0,0,0,0,18000000
192,Phil Bardsley,32,DF,Burnley,Premier League,1125,51,0,0,0,0.8,0,2,579,0,67.4,7,23,21,5,0,0,1500000
197,Ashley Barnes,27,FW,Burnley,Premier League,2165,17,9,0,6.9,1.7,2,25,509,0,60.1,26,12,8,10,0,0,8000000
347,Robbie Brady,25,"MF,FW",Burnley,Premier League,1277,20,1,2,1.3,2.1,3,6,588,0.14,60.2,32,28,11,3,0,0,10000000
549,Jack Cork,28,MF,Burnley,Premier League,3420,55,2,1,2.3,0.9,3,5,1615,0.03,78.5,37,49,41,7,0,0,15000000
2231,Morgan Sanson,22,MF,Marseille,Ligue 1,2165,3,9,2,5.5,3.6,4,25,1051,0.08,77.7,43,47,28,8,0,0,18000000
1055,Tom Heaton,31,GK,Burnley,Premier League,305,0,0,0,0,0,0,0,92,0,56.5,0,0,0,0,0,0,4000000
1247,Kevin Kampl,26,MF,RB Leipzig,Bundesliga,2019,20,1,3,1.6,3.9,3,9,1262,0.13,82.1,1,41,22,3,0,0,18000000
1408,Aaron Lennon,30,"MF,FW",Burnley,Premier League,1118,11,0,2,0.6,1.1,4,4,292,0.16,69.2,24,20,12,2,0,0,5000000
257,Sven Bender,28,DF,Leverkusen,Bundesliga,2345,129,2,0,1.7,0.4,2,6,1573,0,86.6,9,43,27,0,0,0,15000000
1470,Matthew Lowton,28,DF,Burnley,Premier League,2295,86,0,3,0.1,1.5,0,0,1153,0.12,66.4,18,45,36,1,0,0,5000000
1528,Eliaquim Mangala,26,DF,Manchester City,Premier League,488,19,0,0,0.2,0.3,0,0,341,0,90.3,1,6,0,0,0,0,15000000
264,Nabil Bentaleb,22,MF,Schalke 04,Bundesliga,1011,17,4,3,3.4,0.7,1,4,545,0.27,80.4,7,21,11,3,1,0,18000000
1999,Nick Pope,25,GK,Burnley,Premier League,3115,0,0,0,0,0.5,0,0,1029,0,42.9,0,0,0,3,0,11,10000000
1379,Jamaal Lascelles,23,DF,Newcastle Utd,Premier League,2928,197,3,0,1.3,0.2,1,9,1168,0,76.4,13,35,26,5,0,0,15000000
2430,Charlie Taylor,23,DF,Burnley,Premier League,950,31,0,0,0,0.2,0,0,455,0,66.6,15,18,13,3,0,0,5000000
2575,Sam Vokes,27,FW,Burnley,Premier League,998,11,4,1,3.3,0.7,4,9,265,0.09,53.2,3,2,3,3,0,0,6000000
2597,Jonathan Walters,33,FW,Burnley,Premier League,39,1,0,0,0.2,0,0,0,12,0,33.3,0,0,0,0,0,0,2000000
2601,Stephen Ward,31,DF,Burnley,Premier League,2460,70,1,1,0.3,2.1,1,1,1291,0.04,65.5,11,35,35,1,0,0,3000000
2610,Nahki Wells,27,FW,Burnley,Premier League,55,0,0,0,0.5,0,0,1,21,0,85.7,2,1,0,0,0,0,4500000
2615,Ashley Westwood,27,MF,Burnley,Premier League,1111,9,0,1,0.8,0.6,1,1,596,0.08,78.7,4,14,22,2,0,0,4000000
2632,Chris Wood,25,FW,Burnley,Premier League,1624,15,10,1,6.8,0.8,2,25,399,0.06,60.7,10,7,4,1,0,0,18000000
579,Enzo Crivelli,22,FW,Caen,Ligue 1,726,2,2,1,1.5,0.2,0,3,144,0.12,59,6,1,1,2,0,0,4000000
2245,Malang Sarr,18,DF,Nice,Ligue 1,1322,30,0,0,0.5,0.3,1,1,1056,0,88.4,6,20,25,1,0,0,15000000
2602,James Ward-Prowse,22,"FW,MF",Southampton,Premier League,1716,21,3,3,2.1,2.8,2,13,922,0.16,69.3,9,26,10,3,0,0,18000000
59,Joe Allen,27,MF,Stoke City,Premier League,3139,40,2,6,2.4,2.6,1,4,1365,0.17,79.1,61,89,50,8,0,0,18000000
1857,Willi Orban,24,DF,RB Leipzig,Bundesliga,2126,185,3,0,1.5,1.3,0,3,1333,0,83.7,6,44,10,5,1,0,15000000
932,Joris Gnagnon,20,DF,Rennes,Ligue 1,2918,88,2,2,2.6,0.1,1,9,1294,0.06,89.1,5,37,23,3,0,0,15000000
1093,Wesley Hoedt,23,DF,Southampton,Premier League,2520,135,0,1,1.4,0.9,1,2,1355,0.04,76.7,29,68,40,7,0,0,15000000
483,Damir Ceter,19,"FW,MF",Cagliari,Serie A,199,0,0,0,0.2,0.2,0,0,58,0,63.8,6,2,0,0,0,0,1000000
508,Luca Cigarini,31,MF,Cagliari,Serie A,2024,28,2,3,1.7,3.2,4,6,1603,0.13,76.7,18,58,19,13,2,0,1500000
555,Andrea Cossu,37,"MF,FW",Cagliari,Serie A,243,2,0,1,0.1,0.3,0,1,125,0.37,60.8,11,1,2,0,0,0,10000
571,Alessio Cragno,23,GK,Cagliari,Serie A,2536,0,0,0,0,0,0,0,763,0,62.3,0,0,0,0,0,7,9000000
581,Luca Crosta,19,GK,Cagliari,Serie A,90,0,0,0,0,0,0,0,24,0,54.2,0,0,0,0,0,0,20000
637,Mousa Dembélé,30,MF,Tottenham,Premier League,1879,15,0,0,0.4,0.9,2,3,1414,0,92,67,37,31,6,0,0,18000000
648,Gregory van der Wiel,29,DF,Cagliari,Serie A,288,7,0,0,0,0.1,1,0,167,0,79.6,6,7,8,0,0,0,1000000
2320,Moussa Sissoko,27,"MF,FW",Tottenham,Premier League,1386,16,1,1,3.2,2.4,2,8,885,0.06,82.5,29,18,11,3,0,0,18000000
788,Paolo Faragò,24,"DF,MF",Cagliari,Serie A,2457,77,2,4,2.3,4.7,3,7,1331,0.15,65.1,28,103,15,2,0,0,6000000
792,Diego Farias,27,"FW,MF",Cagliari,Serie A,1609,3,1,4,5.4,1.6,5,16,569,0.22,79.8,72,24,9,4,0,0,3300000
915,Niccolò Giannetti,26,"FW,MF",Cagliari,Serie A,293,2,0,0,0.9,0.2,2,1,66,0,71.2,5,5,2,3,0,0,1000000
1658,Senna Miangue,20,"MF,DF",Cagliari,Serie A,805,28,0,1,0.1,1.3,0,0,407,0.11,65.4,19,9,4,2,2,0,1500000
1886,Simone Padoin,33,"DF,MF",Cagliari,Serie A,3103,66,1,0,1.2,3.9,3,2,1343,0,73.5,23,30,17,4,0,0,50000
1919,Leonardo Pavoletti,28,FW,Cagliari,Serie A,2719,27,11,0,12.8,1.2,5,32,797,0,67,12,29,9,8,0,0,9000000
1925,João Pedro,25,"MF,FW",Cagliari,Serie A,1656,16,5,2,3.2,2,2,11,518,0.11,70.3,43,16,7,6,1,0,5000000
2675,Kurt Zouma,22,DF,Stoke City,Premier League,2888,191,1,0,1,0.9,2,7,1137,0,73.1,27,50,50,1,0,0,15000000
2037,Rafael,35,GK,Cagliari,Serie A,794,0,0,0,0,0,0,0,247,0,57.5,0,0,0,1,0,1,80000
1598,Alfie Mawson,23,DF,Swansea City,Premier League,3420,196,2,1,1.9,0.4,0,6,1730,0.03,80.2,20,37,30,3,0,0,15000000
2247,Marco Sau,29,"FW,MF",Cagliari,Serie A,1311,2,2,0,4.2,1,4,10,380,0,76.3,34,16,4,2,0,0,2000000
65,Sergio Álvarez,30,GK,Celta Vigo,La Liga,1479,1,0,0,0,0.1,0,0,518,0,66,1,0,0,0,0,3,2000000
130,Iago Aspas,29,FW,Celta Vigo,La Liga,2933,5,22,5,16.4,6.5,3,40,1290,0.15,75.3,84,24,14,9,0,0,25000000
305,Rubén Blanco,22,GK,Celta Vigo,La Liga,1941,0,0,0,0,0,0,0,684,0,61.1,0,0,0,3,1,4,3000000
346,Lucas Boyé,21,"FW,MF",Celta Vigo,La Liga,287,1,0,0,1.1,0.2,1,1,134,0,65.7,18,5,8,2,0,0,1500000
1743,Jeison Murillo,25,DF,Valencia,La Liga,1374,63,0,0,0.1,0,0,0,760,0,87.8,4,24,21,4,0,0,15000000
766,Jonny Evans,29,DF,West Brom,Premier League,2270,121,2,2,2.3,0.3,2,3,965,0.08,79.3,6,25,42,7,0,0,15000000
944,Maxi Gómez,20,FW,Celta Vigo,La Liga,3056,28,17,4,13.4,4.7,10,38,626,0.12,72.7,31,5,4,12,0,0,25000000
487,Calum Chambers,22,DF,Arsenal,Premier League,866,28,0,0,1.2,0.1,0,3,629,0,81.9,13,17,10,1,0,0,14000000
1003,John Guidetti,25,FW,Celta Vigo,La Liga,119,0,0,0,0.7,0.4,0,4,38,0,73.7,19,0,0,0,0,0,5000000
938,André Gomes,24,"MF,FW",Barcelona,La Liga,640,4,0,0,0.6,0.2,0,0,356,0,87.4,25,14,6,1,0,0,15000000
1092,Andrew Hjulsager,22,"DF,MF",Celta Vigo,La Liga,15,0,0,0,0,0,0,0,7,0,57.1,0,0,0,0,0,0,80000
1439,Stanislav Lobotka,22,MF,Celta Vigo,La Liga,3062,18,0,0,0.3,0.5,0,3,2065,0,90,37,52,29,2,0,0,15000000
1518,Hugo Mallo,26,DF,Celta Vigo,La Liga,2998,65,0,5,1.3,4.6,1,7,2152,0.15,73.2,36,77,36,12,0,0,12000000
1638,Brais Méndez,20,"MF,FW",Celta Vigo,La Liga,951,5,1,2,1.9,1.3,3,9,467,0.19,74.7,17,8,3,0,0,0,3500000
1701,Emre Mor,20,"FW,MF",Celta Vigo,La Liga,679,1,1,1,0.6,2,0,5,292,0.13,66.8,64,9,6,4,0,0,3000000
2033,Nemanja Radoja,24,MF,Celta Vigo,La Liga,1111,9,0,0,0.7,0.6,0,2,612,0,85.3,17,17,4,3,0,0,6000000
2138,Facundo Roncaglia,30,DF,Celta Vigo,La Liga,1511,38,0,0,0.5,0,2,1,1091,0,86.2,10,28,14,2,0,0,3000000
2321,Pione Sisto,22,"FW,MF",Celta Vigo,La Liga,2500,1,5,7,3.8,4.6,7,19,1091,0.25,80.3,136,16,13,2,0,0,15000000
2603,Daniel Wass,28,"MF,FW",Celta Vigo,La Liga,2920,28,4,8,4.4,5,5,11,1667,0.25,75,20,23,22,3,0,0,15000000
63,Marcos Alonso,26,"DF,MF",Chelsea,Premier League,2855,51,7,2,4.1,2.3,6,23,1646,0.06,77.6,32,46,33,6,0,0,40000000
2552,Jannik Vestergaard,24,DF,M'Gladbach,Bundesliga,2880,217,3,0,1.8,0.8,1,6,1879,0,85.8,12,52,17,5,0,0,14000000
150,César Azpilicueta,27,DF,Chelsea,Premier League,3330,113,2,6,1.3,3.2,2,4,2863,0.16,84,7,77,43,1,0,0,40000000
167,Tiemoué Bakayoko,22,MF,Chelsea,Premier League,2126,28,2,2,3.4,0.5,3,8,1098,0.08,85.6,38,62,31,4,2,0,40000000
2018,Davy Pröpper,25,MF,Brighton,Premier League,3119,57,0,4,2.1,1.1,5,3,1415,0.12,77.2,41,67,51,2,1,0,15000000
220,Michy Batshuayi,23,FW,Chelsea,Premier League,360,4,2,1,1.1,0.2,1,5,92,0.25,70.7,21,5,1,0,0,0,40000000
391,Willy Caballero,35,GK,Chelsea,Premier League,270,0,0,0,0,0,0,0,83,0,73.5,0,0,0,0,0,1,1000000
1960,Germán Pezzella,26,DF,Fiorentina,Serie A,2979,168,1,0,2,0.3,1,5,1896,0,83.3,11,70,46,12,0,0,13000000
793,Federico Fazio,30,DF,Roma,Serie A,2922,148,2,1,2.4,0.3,3,4,2004,0.03,83.7,24,48,23,6,0,0,13000000
567,Thibaut Courtois,25,GK,Chelsea,Premier League,3150,3,0,0,0,0,0,0,997,0,73.5,0,0,0,2,0,15,60000000
1442,Ruben Loftus-Cheek,21,"MF,FW",Crystal Palace,Premier League,1874,22,2,3,3.3,2.6,3,7,711,0.14,81.9,89,15,18,1,0,0,15000000
613,Tom Davies,19,MF,Everton,Premier League,1900,13,2,1,1.3,0.7,1,3,707,0.05,76,37,28,15,7,0,0,15000000
929,Olivier Giroud,30,FW,Chelsea,Premier League,613,5,3,1,3.9,1.1,3,10,218,0.15,65.1,2,4,3,0,0,0,18000000
1053,Eden Hazard,26,"FW,MF",Chelsea,Premier League,2422,1,12,4,7.9,7.1,5,33,1424,0.15,82.2,139,7,6,2,0,0,110000000
1293,Davy Klaassen,24,"MF,FW",Everton,Premier League,251,1,0,0,0,0.1,0,1,99,0,76.8,0,2,0,0,0,0,15000000
1194,Juan Jesus,26,DF,Roma,Serie A,1658,50,0,0,0.3,0.1,0,1,1188,0,86.7,5,40,15,4,1,0,13000000
1705,Álvaro Morata,24,FW,Chelsea,Premier League,2061,19,11,6,12.8,3.4,6,33,573,0.26,70.9,63,9,8,7,0,0,65000000
1717,Victor Moses,26,"DF,MF",Chelsea,Premier League,2110,32,3,3,3.2,2.7,4,11,1072,0.13,72.9,43,41,14,3,0,0,20000000
1749,Charly Musonda Jr.,20,FW,Chelsea,Premier League,37,1,0,0,0.2,0.5,0,0,16,0,87.5,1,0,0,0,0,0,5000000
1924,Pedro,30,"FW,MF",Chelsea,Premier League,1523,7,4,2,4.3,1.5,5,20,691,0.12,78.6,50,19,14,1,0,0,25000000
1748,Mateo Musacchio,26,DF,Milan,Serie A,1202,40,0,1,0.4,0.6,0,0,962,0.07,88.7,6,20,17,2,0,0,12500000
2624,Willian,28,"FW,MF",Chelsea,Premier League,1890,7,6,7,4.9,5.3,6,22,1029,0.33,74.7,91,25,5,1,0,0,32000000
2660,Davide Zappacosta,25,"DF,MF",Chelsea,Premier League,1098,15,1,1,1.5,1.8,2,9,631,0.08,79.1,2,19,5,0,0,0,20000000
725,Shane Duffy,25,DF,Brighton,Premier League,3292,248,0,1,1.9,1,4,4,1401,0.03,75.7,8,38,30,8,0,0,12000000
265,Rodrigo Bentancur,20,MF,Juventus,Serie A,581,11,0,0,0.2,0.5,0,2,532,0,89.1,16,28,5,0,0,0,15000000
300,Valter Birsa,30,"MF,FW",Chievo,Serie A,2504,8,3,6,2.6,5.2,1,18,1503,0.22,71.8,84,27,19,3,0,0,4000000
398,Fabrizio Cacciatore,30,DF,Chievo,Serie A,2871,82,2,2,1.1,3.6,2,10,1975,0.06,75.6,28,50,22,5,1,0,1200000
1670,James Milner,31,MF,Liverpool,Premier League,1775,21,0,3,1.7,3.5,0,7,1607,0.15,81.8,20,53,22,3,0,0,15000000
2468,Ömer Toprak,28,DF,Dortmund,Bundesliga,2020,125,0,1,0.7,0.1,2,1,1822,0.04,90.2,3,37,16,1,0,0,12000000
643,Fabio Depaoli,20,"MF,DF",Chievo,Serie A,1192,36,0,0,0.3,0.6,0,3,403,0,65.3,11,38,14,4,0,0,1800000
2574,Kevin Vogt,25,DF,Hoffenheim,Bundesliga,2790,140,0,1,0.4,0.9,0,0,2188,0.03,89.4,6,31,15,9,0,0,12000000
889,Luca Garritano,23,"MF,FW",Chievo,Serie A,189,3,0,0,0.1,0,0,2,84,0,67.9,7,6,1,0,0,0,1000000
636,Fabian Delph,27,DF,Manchester City,Premier League,1741,24,1,2,0.2,1.1,0,3,1720,0.1,92.4,23,35,25,2,0,0,15000000
913,Emanuele Giaccherini,32,"MF,FW",Chievo,Serie A,903,6,3,2,0.5,0.8,0,4,414,0.2,72,6,6,5,4,0,0,1000000
933,Massimo Gobbi,36,DF,Chievo,Serie A,2048,74,0,2,0.2,2.4,0,0,1285,0.09,73.9,24,30,16,3,0,0,30000
1146,Roberto Inglese,25,FW,Chievo,Serie A,2782,19,12,1,9.2,1.5,4,35,563,0.03,64.3,56,32,5,3,0,0,10000000
2291,Jonjo Shelvey,25,MF,Newcastle Utd,Premier League,2270,28,1,3,2.1,2.3,2,9,1425,0.12,70,28,38,23,3,3,0,15000000
1628,Riccardo Meggiorini,31,FW,Chievo,Serie A,786,6,0,0,1.2,0.8,1,4,213,0,57.7,14,9,3,2,0,0,60000
1935,Sergio Pellissier,38,FW,Chievo,Serie A,560,2,1,0,2.1,0.7,2,1,123,0,72.4,3,4,0,1,0,0,20000
2019,Manuel Pucciarelli,26,FW,Chievo,Serie A,1380,2,2,0,1.7,0.9,1,8,394,0,75.9,22,25,5,3,0,0,2500000
1427,Karol Linetty,22,MF,Sampdoria,Serie A,2139,15,3,1,3,2,3,7,1040,0.04,80.7,56,75,18,8,0,0,15000000
2345,Stefano Sorrentino,38,GK,Chievo,Serie A,3420,3,0,0,0,0,0,0,1135,0,63.3,0,0,0,2,0,7,80000
664,Abdou Diallo,21,DF,Mainz 05,Bundesliga,2415,107,2,1,2.3,0.8,1,3,1201,0.04,75.4,47,63,25,5,0,0,12000000
1297,Lukas Klostermann,21,DF,RB Leipzig,Bundesliga,2190,65,1,0,1.2,1.1,0,3,1216,0,77.4,15,49,21,2,0,0,12000000
189,Andrea Barberis,23,MF,Crotone,Serie A,3029,56,2,1,1.5,2.1,5,8,1130,0.03,71.4,33,81,39,1,0,0,2000000
1787,Badou Ndiaye,26,MF,Stoke City,Premier League,1138,11,2,1,1.3,0.2,1,6,355,0.08,79.2,19,38,17,5,0,0,15000000
372,Ante Budimir,26,FW,Crotone,Serie A,1588,28,6,0,5.8,1.7,1,18,391,0,65.5,25,25,6,8,0,0,1500000
2527,Jesús Vallejo,20,DF,Real Madrid,La Liga,630,19,0,0,0,0,0,0,361,0,86.7,2,9,9,0,0,0,12000000
876,Ezequiel Garay,30,DF,Valencia,La Liga,2026,101,0,0,0.2,0.6,0,0,1084,0,83.4,0,20,29,5,0,0,12000000
2163,Víctor Ruiz,28,DF,Villarreal,La Liga,2416,97,2,0,0.6,0.2,1,2,1460,0,83.4,8,24,32,10,2,0,12000000
543,Alex Cordaz,34,GK,Crotone,Serie A,3420,1,0,0,0,0,0,0,1119,0,46.5,0,0,0,2,0,5,1000000
1178,Jakub Jankto,21,"MF,FW",Udinese,Serie A,2654,31,4,4,4.6,6.5,3,14,1146,0.14,71.5,31,33,14,5,0,0,15000000
660,Moussa Diaby,18,MF,Crotone,Serie A,69,0,0,0,0,0,0,0,20,0,75,3,1,1,0,0,0,50000
2461,Rafael Tolói,26,DF,Atalanta,Serie A,2445,127,1,2,1.8,1.3,2,5,1672,0.07,80.9,22,62,43,7,2,0,11000000
790,Davide Faraoni,25,DF,Crotone,Serie A,1754,62,2,4,1,0.8,0,4,952,0.21,68.9,25,57,27,3,0,0,1000000
1334,Oliver Kragl,27,MF,Crotone,Serie A,99,2,0,0,0,0.2,0,0,39,0,56.4,5,1,0,0,0,0,1300000
1525,Rolando Mandragora,20,MF,Crotone,Serie A,3240,63,2,0,2.2,1.5,2,10,1380,0,78,16,88,52,8,0,0,10000000
1560,Bruno Martella,24,DF,Crotone,Serie A,2616,113,1,3,1.1,2.4,0,5,1396,0.1,69.4,44,20,31,3,0,0,2200000
1770,Andrea Nalini,27,"FW,MF",Crotone,Serie A,1638,17,0,2,0.7,3.5,1,9,550,0.11,63.3,41,42,17,2,0,0,1000000
2083,Federico Ricci,23,"FW,MF",Crotone,Serie A,921,1,1,1,2.3,1.6,1,9,376,0.1,63.6,3,28,6,4,0,0,2700000
709,Abdoulaye Doucouré,24,MF,Watford,Premier League,3324,41,7,3,3.1,2.4,3,18,2259,0.08,82.7,50,65,41,10,0,0,15000000
2132,Aristóteles Romero,21,MF,Crotone,Serie A,86,0,0,0,0,0,1,0,49,0,73.5,6,7,2,2,0,0,80000
2208,Mario Sampirisi,24,DF,Crotone,Serie A,2194,101,0,0,0.4,0.6,0,0,1100,0,74.7,16,47,36,2,0,0,90000
2378,Adrian Stoian,26,"MF,FW",Crotone,Serie A,2133,23,2,4,2,2.1,0,7,1025,0.17,61.3,70,27,20,5,0,0,1800000
2466,Aleksandar Tonev,27,"FW,MF",Crotone,Serie A,401,2,0,0,0.6,0.2,0,3,110,0,59.1,7,3,2,0,0,0,70000
2499,Marcello Trotta,24,FW,Crotone,Serie A,2258,17,7,2,7.9,2,9,23,754,0.08,69.5,57,39,10,2,0,0,3500000
2502,Marco Tumminello,18,FW,Crotone,Serie A,203,1,3,1,0.9,0.7,0,6,79,0.44,65.8,0,0,2,1,0,0,1000000
846,Remo Freuler,25,MF,Atalanta,Serie A,3006,24,5,2,5.9,2.5,6,14,2200,0.06,86.4,47,96,30,4,1,0,14000000
0,Patrick van Aanholt,26,DF,Crystal Palace,Premier League,2184,56,5,1,3.1,1.5,1,12,1116,0.04,75.7,26,48,36,7,0,0,9000000
266,Christian Benteke,26,FW,Crystal Palace,Premier League,2240,38,3,5,9.3,3.3,7,17,647,0.2,58.4,35,8,3,6,0,0,22000000
254,Marco Benassi,22,"MF,FW",Fiorentina,Serie A,2782,30,5,3,4.9,3.2,5,27,1322,0.1,75.2,33,58,32,6,0,0,13000000
1090,Martin Hinteregger,24,DF,Augsburg,Bundesliga,2655,146,0,0,2.5,0.3,1,3,1332,0,77.1,5,62,34,3,0,0,10000000
728,Lewis Dunk,25,DF,Brighton,Premier League,3420,201,1,1,2.4,0.3,3,8,1548,0.03,76.9,10,58,46,7,0,0,10000000
838,Timothy Fosu-Mensah,19,DF,Crystal Palace,Premier League,1596,54,0,0,0.2,0.6,1,0,734,0,71.5,10,38,24,2,0,0,7000000
1066,Wayne Hennessey,30,GK,Crystal Palace,Premier League,2430,0,0,0,0,0,0,0,655,0,50.5,0,0,0,1,0,7,4000000
1236,Sullay Kaikai,21,MF,Crystal Palace,Premier League,14,0,0,0,0,0,0,0,8,0,37.5,3,1,0,0,0,0,50000
1272,Martin Kelly,27,DF,Crystal Palace,Premier League,1195,69,0,0,0.3,0,1,2,383,0,71.3,2,20,6,1,0,0,3000000
1362,Freddie Ladapo,24,FW,Crystal Palace,Premier League,17,0,0,0,0,0,0,0,9,0,55.6,0,0,0,0,0,0,25000
640,Kerem Demirbay,24,MF,Hoffenheim,Bundesliga,1211,22,2,2,2,2.2,0,4,742,0.15,77.8,33,35,9,3,0,0,12000000
799,Marouane Fellaini,29,MF,Manchester Utd,Premier League,683,18,4,0,2.9,0.1,0,6,384,0,84.6,3,11,9,1,0,0,12000000
2025,Jason Puncheon,31,"MF,FW",Crystal Palace,Premier League,645,5,0,0,0.6,0.3,1,2,261,0,78.9,5,6,6,5,0,0,5000000
1627,Ben Mee,27,DF,Burnley,Premier League,2610,150,0,0,1.7,0.3,3,7,1122,0,73.6,6,33,26,5,0,0,10000000
2191,Bakary Sako,29,"FW,MF",Crystal Palace,Premier League,478,2,3,0,1.8,0.8,4,6,151,0,62.9,18,9,0,0,0,0,5000000
2258,Jeffrey Schlupp,24,"DF,MF",Crystal Palace,Premier League,1745,36,0,1,1.6,0.8,2,2,807,0.05,72.1,13,47,17,3,0,0,9000000
2346,Pape Souaré,27,DF,Crystal Palace,Premier League,9,0,0,0,0,0,0,0,11,0,81.8,0,0,0,0,0,0,3500000
2354,Julián Speroni,38,GK,Crystal Palace,Premier League,990,1,0,0,0,0,0,0,232,0,45.3,0,0,0,0,0,2,25000
856,Ramiro Funes Mori,26,"DF,MF",Everton,Premier League,121,11,0,0,0.1,0,0,0,57,0,75.4,0,1,3,1,0,0,10000000
2488,Andros Townsend,26,"FW,MF",Crystal Palace,Premier League,3120,17,2,7,3.2,6.1,6,15,1196,0.2,69.6,125,43,35,3,0,0,15000000
2598,Aaron Wan-Bissaka,19,DF,Crystal Palace,Premier League,627,25,0,0,0,0.4,0,0,276,0,67,11,25,15,1,0,0,1000000
2600,Joel Ward,27,DF,Crystal Palace,Premier League,1613,44,0,1,0.3,1.2,1,1,912,0.06,71.1,9,39,16,4,0,0,5000000
2651,Wilfried Zaha,24,FW,Crystal Palace,Premier League,2549,0,9,3,9.7,4.8,6,24,719,0.11,69,158,30,12,5,0,0,30000000
474,Dani Ceballos,20,"MF,FW",Real Madrid,La Liga,404,2,2,0,0.5,0.4,0,4,361,0,93.9,16,6,2,0,0,0,12000000
342,Benjamin Bourigeaud,23,"MF,FW",Rennes,Ligue 1,3102,19,10,7,7.6,8.7,6,25,1778,0.2,71.8,48,39,50,3,0,0,12000000
157,Dylan Bahamboula,22,"FW,MF",Dijon,Ligue 1,30,0,0,0,0,0,0,1,14,0,71.4,1,0,0,0,0,0,60000
183,Éver Banega,29,MF,Sevilla,La Liga,2399,10,3,3,3.8,5.2,1,10,2265,0.11,81.5,85,55,14,9,1,0,12000000
338,Arnold Bouka Moutou,28,DF,Dijon,Ligue 1,336,2,0,0,0,0.3,0,0,143,0,77.6,6,3,5,1,0,0,80000
485,Fouad Chafik,30,DF,Dijon,Ligue 1,1612,27,0,2,0.2,1.6,1,1,866,0.11,73.3,31,53,28,4,0,0,1500000
2073,Karim Rekik,22,DF,Hertha BSC,Bundesliga,2302,155,2,2,0.7,0.4,1,2,1316,0.08,85,1,30,22,4,0,0,10000000
1028,Oussama Haddadi,25,DF,Dijon,Ligue 1,2504,39,1,1,0.7,1.5,1,4,1385,0.04,74.2,37,53,36,6,1,0,3000000
1189,Benjamin Jeannot,25,"FW,MF",Dijon,Ligue 1,1405,19,4,1,3.3,0.9,1,8,323,0.06,70.6,14,12,9,4,0,0,2500000
1315,Terence Kongolo,23,DF,Huddersfield,Premier League,1049,41,0,0,0.3,0.3,1,0,397,0,65.7,10,32,20,0,0,0,10000000
498,Giorgio Chiellini,32,DF,Juventus,Serie A,2161,127,0,1,1.2,0.6,1,2,1765,0.04,86.5,3,35,28,2,0,0,10000000
632,Thomas Delaney,25,MF,Werder Bremen,Bundesliga,2796,80,3,4,4.2,2.5,5,11,1274,0.13,72.3,27,77,36,5,0,0,12000000
607,Sergi Darder,23,MF,Espanyol,La Liga,2778,24,1,2,1.4,2.6,1,8,1492,0.06,79.5,5,58,35,7,0,0,11000000
1581,Eden Massouema,20,MF,Dijon,Ligue 1,189,1,0,0,0,0.3,0,0,66,0,75.8,2,1,2,1,0,0,15000
2080,Baptiste Reynet,26,GK,Dijon,Ligue 1,3420,5,0,0,0,0,0,0,1335,0,71.4,3,0,1,3,0,5,5000000
2147,Valentin Rosier,20,DF,Dijon,Ligue 1,2781,60,0,3,1,2.5,0,5,1422,0.1,76.8,77,72,53,5,0,0,4500000
2158,Vincent Rüfli,29,"MF,FW",Dijon,Ligue 1,25,0,0,0,0,0,0,0,14,0,78.6,0,3,1,0,0,0,90000
2182,Wesley Saïd,22,"FW,MF",Dijon,Ligue 1,1839,2,9,1,4.3,1.8,3,24,496,0.05,73.6,53,31,15,4,0,0,6000000
2204,Frédéric Sammaritano,31,"FW,MF",Dijon,Ligue 1,1429,3,0,3,2,2,4,13,599,0.19,76.3,22,23,7,2,0,0,1000000
2328,Naïm Sliti,25,"FW,MF",Dijon,Ligue 1,2291,4,7,6,5.5,5,7,24,903,0.24,68.2,111,44,16,2,0,0,7000000
663,Mouctar Diakhaby,20,DF,Lyon,Ligue 1,728,41,1,0,0.3,0,0,1,410,0,88.8,8,8,10,2,0,0,10000000
